fecha,valor,variable
2024-01-27,536.59,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-01-28,536.59,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-01-29,536.59,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-01-30,548.52,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-01-31,552.55,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-01,556.62,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-02,560.71,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-03,564.83,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-04,564.83,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-05,564.83,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-06,577.39,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-07,581.63,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-08,585.91,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-09,590.22,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-10,594.56,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-11,594.56,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-12,594.56,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-13,594.56,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-14,594.56,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-15,616.74,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-16,621.28,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-17,625.31,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-18,625.31,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-19,625.31,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-20,637.54,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-21,641.67,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-22,645.83,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-23,650.01,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-24,654.23,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-25,654.23,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-26,654.23,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-27,667.03,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-28,671.35,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-02-29,675.7,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-01,680.08,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-02,684.48,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-03,684.48,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-04,684.48,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-05,697.88,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-06,702.4,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-07,706.95,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-08,711.53,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-09,716.14,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-10,716.14,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-11,716.14,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-12,730.15,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-13,734.88,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-14,739.65,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-15,744.44,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-16,749.26,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-17,749.26,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-18,749.26,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-19,758.31,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-20,761.35,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-21,764.4,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-22,767.46,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-23,770.54,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-24,770.54,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-25,770.54,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-26,779.84,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-27,782.96,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-28,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-29,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-30,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-03-31,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-01,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-02,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-03,786.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-04,808.42,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-05,811.66,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-06,814.91,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-07,814.91,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-08,814.91,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-09,824.75,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-10,828.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-11,831.37,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-12,834.7,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-13,838.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-14,838.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-15,838.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-16,848.17,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-17,851.12,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-18,854.09,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-19,857.06,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-20,860.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-21,860.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-22,860.05,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-23,869.07,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-24,872.1,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-25,875.14,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-26,878.19,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-27,881.25,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-28,881.25,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-29,881.25,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-04-30,890.49,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-01,893.6,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-02,893.6,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-03,899.84,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-04,902.97,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-05,902.97,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-06,902.97,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-07,912.45,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-08,915.62,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-09,918.82,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-10,922.02,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-11,925.23,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-12,925.23,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-05-13,925.23,"Unidad de Valor Adquisitivo (UVA) (en pesos -con dos decimales-, base 31.3.2016=14.05)"
2024-01-02,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-03,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-04,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-05,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-08,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-09,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-10,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-11,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-12,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-15,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-16,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-17,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-18,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-19,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-22,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-23,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-24,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-25,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-26,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-29,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-30,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-01-31,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-01,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-02,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-05,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-06,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-07,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-08,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-09,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-14,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-15,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-16,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-19,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-20,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-21,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-22,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-23,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-26,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-27,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-28,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-02-29,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-01,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-04,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-05,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-06,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-07,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-08,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-11,171.46,Tasa de Politica Monetaria (en % e.a.)
2024-03-12,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-13,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-14,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-15,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-18,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-19,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-20,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-21,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-22,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-25,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-26,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-03-27,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-03,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-04,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-05,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-08,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-09,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-10,122.36,Tasa de Politica Monetaria (en % e.a.)
2024-04-11,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-12,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-15,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-16,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-17,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-18,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-19,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-22,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-23,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-24,101.24,Tasa de Politica Monetaria (en % e.a.)
2024-04-25,82.12,Tasa de Politica Monetaria (en % e.a.)
2024-04-26,82.12,Tasa de Politica Monetaria (en % e.a.)
2024-04-29,82.12,Tasa de Politica Monetaria (en % e.a.)
2024-04-30,82.12,Tasa de Politica Monetaria (en % e.a.)
2024-05-02,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-05-03,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-05-06,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-05-07,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-05-08,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-05-09,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-05-10,64.82,Tasa de Politica Monetaria (en % e.a.)
2024-01-02,180.63,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-03,183.53,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-04,183.86,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-05,183.53,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-08,182.08,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-09,185.15,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-10,181.44,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-11,184.5,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-12,184.18,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-15,184.83,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-16,185.15,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-17,184.67,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-18,184.83,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-19,184.99,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-22,182.4,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-23,184.99,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-24,185.48,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-25,182.72,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-26,180.8,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-29,183.21,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-30,182.24,BADLAR en pesos de bancos privados (en % e.a.)
2024-01-31,184.99,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-01,180.47,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-02,182.89,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-05,180.63,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-06,181.76,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-07,182.89,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-08,184.34,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-09,180.31,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-14,181.12,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-15,184.83,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-16,183.53,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-19,184.02,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-20,184.67,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-21,180.96,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-22,184.67,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-23,183.86,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-26,182.72,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-27,185.81,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-28,183.37,BADLAR en pesos de bancos privados (en % e.a.)
2024-02-29,183.05,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-01,182.72,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-04,183.05,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-05,183.05,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-06,183.86,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-07,180.8,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-08,183.05,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-11,182.24,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-12,105.55,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-13,101.96,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-14,101.72,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-15,100.3,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-18,99.36,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-19,99.25,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-20,99.6,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-21,101.48,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-22,99.71,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-25,99.83,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-26,99.48,BADLAR en pesos de bancos privados (en % e.a.)
2024-03-27,98.89,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-03,98.66,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-04,100.07,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-05,99.83,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-08,100.07,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-09,98.89,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-10,96.91,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-11,93.35,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-12,81.92,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-15,81.7,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-16,81.7,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-17,81.17,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-18,82.57,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-19,81.06,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-22,80.84,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-23,81.17,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-24,81.6,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-25,73.58,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-26,64.2,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-29,64.4,BADLAR en pesos de bancos privados (en % e.a.)
2024-04-30,64.4,BADLAR en pesos de bancos privados (en % e.a.)
2024-05-02,59.84,BADLAR en pesos de bancos privados (en % e.a.)
2024-05-03,49.51,BADLAR en pesos de bancos privados (en % e.a.)
2024-05-06,48.61,BADLAR en pesos de bancos privados (en % e.a.)
